"pathogen";"scenario_id";"total";"yesno";"value"
"IBR";"0";0.999999;"yes";0.999999
"IBR";"0";0.999999;"no";1.00000000002876e-06
"IBR";"Screening before pasture";0.285400743414768;"yes";0.285400743414768
"IBR";"Screening before pasture";0.285400743414768;"no";0.714599256585232
"IBR";"No share pasture";0.096015830351608;"yes";0.096015830351608
"IBR";"No share pasture";0.096015830351608;"no";0.903984169648392
"IBR";"Test before transport";0.966734536550531;"yes";0.966734536550531
"IBR";"Test before transport";0.966734536550531;"no";0.0332654634494686
"IBR";"No shared purchase transport";0.999789387238016;"yes";0.999789387238016
"IBR";"No shared purchase transport";0.999789387238016;"no";0.000210612761984197
"IBR";"Quarantine new animals";0.999999;"yes";0.999999
"IBR";"Quarantine new animals";0.999999;"no";1.00000000002876e-06
"IBR";"Test during quarantine";0.943065060486095;"yes";0.943065060486095
"IBR";"Test during quarantine";0.943065060486095;"no";0.0569349395139054
"IBR";"Exclusive quarantine material";0.999999;"yes";0.999999
"IBR";"Exclusive quarantine material";0.999999;"no";1.00000000002876e-06
"IBR";"Test during quarantine with exclusive material";0.94388069464545;"yes";0.94388069464545
"IBR";"Test during quarantine with exclusive material";0.94388069464545;"no";0.0561193053545497
"BVD";"0";0.999999;"yes";0.999999
"BVD";"0";0.999999;"no";1.00000000002876e-06
"BVD";"Avoid mud on wateres";0.999999;"yes";0.999999
"BVD";"Avoid mud on wateres";0.999999;"no";1.00000000002876e-06
"BVD";"Use high wateres";0.999999;"yes";0.999999
"BVD";"Use high wateres";0.999999;"no";1.00000000002876e-06
"BVD";"Screening before pasture";0.593856048622879;"yes";0.593856048622879
"BVD";"Screening before pasture";0.593856048622879;"no";0.406143951377121
"BVD";"No share pasture";0.10971535612106;"yes";0.10971535612106
"BVD";"No share pasture";0.10971535612106;"no";0.89028464387894
"BVD";"Test before transport";0.996646075429965;"yes";0.996646075429965
"BVD";"Test before transport";0.996646075429965;"no";0.00335392457003469
"BVD";"No shared purchase transport";0.999999;"yes";0.999999
"BVD";"No shared purchase transport";0.999999;"no";1.00000000002876e-06
"BVD";"Quarantine new animals";0.999999;"yes";0.999999
"BVD";"Quarantine new animals";0.999999;"no";1.00000000002876e-06
"BVD";"Test during quarantine";0.996597007055285;"yes";0.996597007055285
"BVD";"Test during quarantine";0.996597007055285;"no";0.00340299294471524
"BVD";"Exclusive quarantine material";0.999999;"yes";0.999999
"BVD";"Exclusive quarantine material";0.999999;"no";1.00000000002876e-06
"BVD";"Test during quarantine with exclusive material";0.996602528574022;"yes";0.996602528574022
"BVD";"Test during quarantine with exclusive material";0.996602528574022;"no";0.00339747142597813
"TB";"0";0.999999;"yes";0.999999
"TB";"0";0.999999;"no";1.00000000002876e-06
"TB";"Avoid mud on wateres";0.999999;"yes";0.999999
"TB";"Avoid mud on wateres";0.999999;"no";1.00000000002876e-06
"TB";"Use high wateres";0.99877613570677;"yes";0.99877613570677
"TB";"Use high wateres";0.99877613570677;"no";0.00122386429323029
"TB";"Screening before pasture";0.393033254244866;"yes";0.393033254244866
"TB";"Screening before pasture";0.393033254244866;"no";0.606966745755134
"TB";"No share pasture";0.0517310464147216;"yes";0.0517310464147216
"TB";"No share pasture";0.0517310464147216;"no";0.948268953585278
"TB";"Test before transport";0.998626448530337;"yes";0.998626448530337
"TB";"Test before transport";0.998626448530337;"no";0.00137355146966289
"TB";"No shared purchase transport";0.999999;"yes";0.999999
"TB";"No shared purchase transport";0.999999;"no";1.00000000002876e-06
"TB";"Quarantine new animals";0.999999;"yes";0.999999
"TB";"Quarantine new animals";0.999999;"no";1.00000000002876e-06
"TB";"Test during quarantine";0.998376163995764;"yes";0.998376163995764
"TB";"Test during quarantine";0.998376163995764;"no";0.00162383600423577
"TB";"Exclusive quarantine material";0.999999;"yes";0.999999
"TB";"Exclusive quarantine material";0.999999;"no";1.00000000002876e-06
"TB";"Test during quarantine with exclusive material";0.998483428111992;"yes";0.998483428111992
"TB";"Test during quarantine with exclusive material";0.998483428111992;"no";0.00151657188800813
"IBR";"Do not allow vehicles to enter in the farm perimeter";0.999999;"yes";0.999999
"IBR";"Do not allow vehicles to enter in the farm perimeter";0.999999;"no";1.00000000002876e-06
"BVD";"Do not allow vehicles to enter in the farm perimeter";0.999999;"yes";0.999999
"BVD";"Do not allow vehicles to enter in the farm perimeter";0.999999;"no";1.00000000002876e-06
"TB";"Do not allow vehicles to enter in the farm perimeter";0.999999;"yes";0.999999
"TB";"Do not allow vehicles to enter in the farm perimeter";0.999999;"no";1.00000000002876e-06
"IBR";"Provide boots to all visitors";0.999570908596611;"yes";0.999570908596611
"IBR";"Provide boots to all visitors";0.999570908596611;"no";0.000429091403388648
"BVD";"Provide boots to all visitors";0.999995810732898;"yes";0.999995810732898
"BVD";"Provide boots to all visitors";0.999995810732898;"no";4.18926710199496e-06
"TB";"Provide boots to all visitors";0.999353387629081;"yes";0.999353387629081
"TB";"Provide boots to all visitors";0.999353387629081;"no";0.00064661237091912
"IBR";"Do not share equipment with other farms";0.999999;"yes";0.999999
"IBR";"Do not share equipment with other farms";0.999999;"no";1.00000000002876e-06
"BVD";"Do not share equipment with other farms";0.999999398732107;"yes";0.999999398732107
"BVD";"Do not share equipment with other farms";0.999999398732107;"no";6.01267893363122e-07
"TB";"Do not share equipment with other farms";0.99982209958425;"yes";0.99982209958425
"TB";"Do not share equipment with other farms";0.99982209958425;"no";0.000177900415749943
